coin,entry_time,exit_time,direction,entry_price,exit_price,tp,sl,rr,bars_held,net_pnl,outcome,lgbm_conf
TONUSDT,2026-04-04 19:00:00+00:00,2026-04-05 05:00:00+00:00,LONG,1.232716,1.242079,1.243944,1.222693,1.12,10,0.1699,GUARDIAN_MOMENTUM_FLOOR,0.7736
ADAUSDT,2026-04-04 22:00:00+00:00,2026-04-05 11:00:00+00:00,SHORT,0.247676,0.242421,0.244126,0.250788,1.14,13,0.5104,GUARDIAN_MOMENTUM_FLOOR,0.7319
1000SHIBUSDT,2026-04-04 22:00:00+00:00,2026-04-05 13:00:00+00:00,SHORT,0.00597,0.005849,0.005895,0.006074,0.72,15,0.4871,GUARDIAN_MOMENTUM_FLOOR,0.7098
1000PEPEUSDT,2026-04-04 22:00:00+00:00,2026-04-05 15:00:00+00:00,SHORT,0.003399,0.003336,0.003349,0.003469,0.72,17,0.4436,GUARDIAN_MOMENTUM_FLOOR,0.7108
BTCUSDT,2026-04-05 12:00:00+00:00,2026-04-05 15:00:00+00:00,LONG,66784.7757,67238.5639,67188.516206,66474.564874,1.3,3,0.1499,GUARDIAN_MOMENTUM_FLOOR,0.823
BNBUSDT,2026-04-05 15:00:00+00:00,2026-04-05 23:00:00+00:00,SHORT,593.08331,598.129908,586.753066,597.830993,1.33,8,-0.2327,LOSS,0.7818
XRPUSDT,2026-04-05 15:00:00+00:00,2026-04-05 22:00:00+00:00,SHORT,1.295052,1.310453,1.275391,1.309798,1.33,7,-0.3173,LOSS,0.8152
DOGEUSDT,2026-04-05 15:00:00+00:00,2026-04-05 23:00:00+00:00,SHORT,0.090575,0.091518,0.089377,0.091473,1.33,8,-0.2805,LOSS,0.7061
SUIUSDT,2026-04-05 15:00:00+00:00,2026-04-05 23:00:00+00:00,SHORT,0.848775,0.860683,0.834562,0.860253,1.24,8,-0.3062,LOSS,0.7089
ARBUSDT,2026-04-05 15:00:00+00:00,2026-04-05 22:00:00+00:00,SHORT,0.090855,0.092071,0.089294,0.092025,1.33,7,-0.3548,LOSS,0.7327
ONDOUSDT,2026-04-05 18:00:00+00:00,2026-04-05 22:00:00+00:00,SHORT,0.249975,0.253369,0.246203,0.253243,1.15,4,-0.3595,LOSS,0.729
1000SHIBUSDT,2026-04-05 20:00:00+00:00,2026-04-06 01:00:00+00:00,LONG,0.005836,0.006009,0.005907,0.005773,1.13,5,0.7214,GUARDIAN_MOMENTUM_FLOOR,0.8868
1000PEPEUSDT,2026-04-05 20:00:00+00:00,2026-04-06 03:00:00+00:00,LONG,0.003332,0.003537,0.003386,0.003275,0.95,7,1.5156,GUARDIAN_MOMENTUM_FLOOR,0.9082
AVAXUSDT,2026-04-05 21:00:00+00:00,2026-04-06 06:00:00+00:00,LONG,8.858427,9.388304,8.976185,8.711561,0.8,9,1.4754,GUARDIAN_MOMENTUM_FLOOR,0.8659
HBARUSDT,2026-04-05 21:00:00+00:00,2026-04-06 00:00:00+00:00,LONG,0.086673,0.087956,0.087623,0.085763,1.04,3,0.35,GUARDIAN_MOMENTUM_FLOOR,0.7991
ADAUSDT,2026-04-05 22:00:00+00:00,2026-04-06 07:00:00+00:00,LONG,0.246423,0.254972,0.250924,0.238975,0.6,9,0.8473,GUARDIAN_MOMENTUM_FLOOR,0.7525
BTCUSDT,2026-04-06 20:00:00+00:00,2026-04-06 23:00:00+00:00,SHORT,69744.5103,68852.30895,68856.913339,70554.39924,1.1,3,0.2998,GUARDIAN_MOMENTUM_FLOOR,0.8514
ETHUSDT,2026-04-06 20:00:00+00:00,2026-04-06 23:00:00+00:00,SHORT,2146.516205,2107.19307,2112.466052,2177.622538,1.09,3,0.438,GUARDIAN_MOMENTUM_FLOOR,0.7096
1000SHIBUSDT,2026-04-07 04:00:00+00:00,2026-04-07 12:00:00+00:00,SHORT,0.005879,0.005817,0.005794,0.005986,0.79,8,0.2443,GUARDIAN_MOMENTUM_FLOOR,0.7344
ONDOUSDT,2026-04-07 09:00:00+00:00,2026-04-07 12:00:00+00:00,SHORT,0.254273,0.252426,0.249852,0.258205,1.12,3,0.1616,GUARDIAN_MOMENTUM_FLOOR,0.7327
ADAUSDT,2026-04-07 16:00:00+00:00,2026-04-07 20:00:00+00:00,LONG,0.242121,0.245777,0.246218,0.238676,1.19,4,0.3575,GUARDIAN_MOMENTUM_FLOOR,0.8793
1000SHIBUSDT,2026-04-07 16:00:00+00:00,2026-04-07 17:00:00+00:00,LONG,0.005825,0.005898,0.005906,0.005756,1.17,1,0.2939,GUARDIAN_MOMENTUM_FLOOR,0.909
SUIUSDT,2026-04-07 16:00:00+00:00,2026-04-08 14:00:00+00:00,LONG,0.866033,0.921539,0.8858,0.853273,1.55,22,1.5823,GUARDIAN_MOMENTUM_FLOOR,0.8429
NEARUSDT,2026-04-07 16:00:00+00:00,2026-04-07 23:00:00+00:00,LONG,1.238619,1.308346,1.265181,1.218359,1.31,7,1.3873,GUARDIAN_MOMENTUM_FLOOR,0.8066
