Time,Coin,Direction,Confidence,Model,Entry,TP,TP%,SL,SL%,ATR,H4 High,H4 Low
2026-05-24 07:05,TAOUSDT,FLAT,1.0000,cascade_v3.1,280.8700,,,,,3.8626,294.0000,252.6900
2026-05-24 07:05,DOTUSDT,FLAT,1.0000,cascade_v3.1,1.2770,,,,,0.013610,1.3460,1.1970
2026-05-24 07:05,1000SHIBUSDT,FLAT,1.0000,cascade_v3.1,0.00565200,,,,,0.00003700,0.00589200,0.00546700
2026-05-24 07:05,ADAUSDT,FLAT,1.0000,cascade_v3.1,0.245900,,,,,0.00154698,0.254500,0.235700
2026-05-24 07:05,ONDOUSDT,FLAT,1.0000,cascade_v3.1,0.441000,,,,,0.010317,0.475600,0.373000
2026-05-24 07:05,HBARUSDT,FLAT,1.0000,cascade_v3.1,0.089830,,,,,0.00053178,0.090970,0.085340
2026-05-24 07:05,SOLUSDT,FLAT,1.0000,cascade_v3.1,86.5600,,,,,0.619031,88.0200,81.3600
2026-05-24 07:05,LINKUSDT,FLAT,1.0000,cascade_v3.1,9.6090,,,,,0.079929,10.0310,9.0340
2026-05-24 07:05,DOGEUSDT,FLAT,1.0000,cascade_v3.1,0.103090,,,,,0.00069383,0.106740,0.097150
2026-05-24 07:05,ARBUSDT,FLAT,1.0000,cascade_v3.1,0.109400,,,,,0.00104971,0.115800,0.102800
2026-05-24 07:05,XRPUSDT,FLAT,1.0000,cascade_v3.1,1.3620,,,,,0.00658707,1.3859,1.2951
2026-05-24 07:05,TRXUSDT,FLAT,1.0000,cascade_v3.1,0.362560,,,,,0.00068809,0.366360,0.358150
2026-05-24 07:05,TONUSDT,FLAT,1.0000,cascade_v3.1,1.7915,,,,,0.020588,2.0950,1.7213
2026-05-24 07:05,ETHUSDT,FLAT,1.0000,cascade_v3.1,2126.01,,,,,12.2002,2157.00,2007.00
2026-05-24 07:05,BNBUSDT,FLAT,1.0000,cascade_v3.1,657.4100,,,,,2.8140,664.9500,635.0000
2026-05-24 07:05,1000PEPEUSDT,FLAT,1.0000,cascade_v3.1,0.00362670,,,,,0.00003187,0.00383240,0.00343470
2026-05-24 07:05,POLUSDT,FLAT,1.0000,cascade_v3.1,0.091260,,,,,0.00052352,0.093230,0.087190
2026-05-24 07:05,NEARUSDT,FLAT,1.0000,cascade_v3.1,2.4120,,,,,0.066507,2.3360,2.0100
2026-05-24 07:05,AVAXUSDT,FLAT,1.0000,cascade_v3.1,9.3590,,,,,0.064293,9.5990,8.8330
2026-05-24 07:05,SUIUSDT,FLAT,1.0000,cascade_v3.1,1.0667,,,,,0.012285,1.1641,0.981300
2026-05-24 06:05,TAOUSDT,FLAT,1.0000,cascade_v3.1,278.7700,,,,,3.9451,294.0000,252.6900
2026-05-24 06:05,DOTUSDT,FLAT,1.0000,cascade_v3.1,1.2770,,,,,0.014022,1.3460,1.1970
2026-05-24 06:05,1000SHIBUSDT,FLAT,1.0000,cascade_v3.1,0.00564400,,,,,0.00003797,0.00589200,0.00546700
2026-05-24 06:05,ADAUSDT,FLAT,1.0000,cascade_v3.1,0.246000,,,,,0.00161472,0.254500,0.235700
2026-05-24 06:05,ONDOUSDT,FLAT,1.0000,cascade_v3.1,0.427700,,,,,0.00901373,0.475600,0.373000
2026-05-24 06:05,HBARUSDT,FLAT,1.0000,cascade_v3.1,0.089710,,,,,0.00053431,0.090970,0.085340
2026-05-24 06:05,SOLUSDT,FLAT,1.0000,cascade_v3.1,86.0800,,,,,0.586369,88.0200,81.3600
2026-05-24 06:05,LINKUSDT,FLAT,1.0000,cascade_v3.1,9.5850,,,,,0.074934,10.0310,9.0340
2026-05-24 06:05,DOGEUSDT,FLAT,1.0000,cascade_v3.1,0.103020,,,,,0.00072847,0.106740,0.097150
2026-05-24 06:05,ARBUSDT,FLAT,1.0000,cascade_v3.1,0.108700,,,,,0.00102557,0.115800,0.102800
2026-05-24 06:05,XRPUSDT,FLAT,1.0000,cascade_v3.1,1.3601,,,,,0.00657175,1.3859,1.2951
2026-05-24 06:05,TRXUSDT,FLAT,1.0000,cascade_v3.1,0.362960,,,,,0.00071723,0.366360,0.358150
2026-05-24 06:05,TONUSDT,FLAT,1.0000,cascade_v3.1,1.7925,,,,,0.021701,2.0950,1.7213
2026-05-24 06:05,ETHUSDT,FLAT,1.0000,cascade_v3.1,2120.43,,,,,12.1565,2157.00,2007.00
2026-05-24 06:05,BNBUSDT,FLAT,1.0000,cascade_v3.1,655.6400,,,,,2.8154,664.9500,635.0000
2026-05-24 06:05,1000PEPEUSDT,FLAT,1.0000,cascade_v3.1,0.00361720,,,,,0.00003204,0.00383240,0.00343470
2026-05-24 06:05,POLUSDT,FLAT,1.0000,cascade_v3.1,0.091010,,,,,0.00052232,0.093230,0.087190
2026-05-24 06:05,NEARUSDT,FLAT,1.0000,cascade_v3.1,2.3340,,,,,0.066831,2.3360,2.0100
2026-05-24 06:05,AVAXUSDT,FLAT,1.0000,cascade_v3.1,9.3390,,,,,0.068636,9.5990,8.8330
2026-05-24 06:05,SUIUSDT,FLAT,1.0000,cascade_v3.1,1.0578,,,,,0.012082,1.1641,0.981300
2026-05-24 05:05,TAOUSDT,FLAT,1.0000,cascade_v3.1,278.4800,,,,,4.0449,294.0000,252.6900
2026-05-24 05:05,DOTUSDT,FLAT,1.0000,cascade_v3.1,1.2790,,,,,0.014763,1.3460,1.1970
2026-05-24 05:05,1000SHIBUSDT,FLAT,1.0000,cascade_v3.1,0.00565200,,,,,0.00003940,0.00589200,0.00546700
2026-05-24 05:05,ADAUSDT,FLAT,1.0000,cascade_v3.1,0.245500,,,,,0.00170827,0.254500,0.235700
2026-05-24 05:05,ONDOUSDT,FLAT,1.0000,cascade_v3.1,0.429200,,,,,0.00937790,0.475600,0.373000
2026-05-24 05:05,HBARUSDT,FLAT,1.0000,cascade_v3.1,0.089440,,,,,0.00056226,0.090970,0.085340
2026-05-24 05:05,SOLUSDT,FLAT,1.0000,cascade_v3.1,85.8900,,,,,0.585707,88.0200,81.3600
2026-05-24 05:05,LINKUSDT,FLAT,1.0000,cascade_v3.1,9.5240,,,,,0.074246,10.0310,9.0340
2026-05-24 05:05,DOGEUSDT,FLAT,1.0000,cascade_v3.1,0.103000,,,,,0.00073357,0.106740,0.097150
